,"Marketing dataset: 
Containing customer base data and if the campaign was successful or not.",,,,,,,,,,
,,,,,,,,,,,
ID,Year_Birth,Education,Marital_Status,, Income ,Kidhome,Teenhome,Dt_Customer,Country,Complain,Successful Campaigns
1826,1970,Graduation,Divorced,,"$84,835.00 ",0 kid(s),0,6/16/2014,SP,0,1
1,1961,Graduation,Single,,"$57,091.00 ",0 kid(s),0,6/15/2014,CA,0,1
1,1961,Graduation,Single,,"$57,091.00 ",0 kid(s),0,6/15/2014,CA,0,1
10476,1958,Graduation,Married,,"$67,267.00 ",0 kid(s),1,5/13/2014,US,0,0
,,,,,,,,,,,
1386,1967,Graduation,Together,,"$32,474.00 ",1 kid(s),1,5/11/2014,AUS,0,0
5371,1989,Graduation,Single,,"$21,474.00 ",1 kid(s),0,4/8/2014,SP,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7348,1958,PhD,Single,,"$71,691.00 ",0 kid(s),0,3/17/2014,SP,0,1
,,,,,,,,,,,
7348,1958,PhD,Single,,"$71,691.00 ",0 kid(s),0,3/17/2014,SP,0,1
4073,1954,Bachelor degree,Married,,"$63,564.00 ",0 kid(s),0,1/29/2014,GER,0,1
1991,1967,Graduation,Together,,"$44,931.00 ",0 kid(s),1,1/18/2014,SP,0,0
4047,1954,PhD,Married,,"$65,324.00 ",0 kid(s),1,1/11/2014,US,0,0
9477,1954,PhD,Married,,"$65,324.00 ",0 kid(s),1,1/11/2014,IND,0,0
2079,1947,Bachelor degree,Married,,"$81,044.00 ",0 kid(s),0,12/27/2013,US,0,0
5642,1979,Master,Together,,"$62,499.00 ",1 kid(s),0,12/9/2013,SP,0,0
10530,1959,PhD,Widow,,"$67,786.00 ",0 kid(s),0,12/7/2013,IND,0,1
2964,1981,Graduation,Married,,"$26,872.00 ",0 kid(s),0,10/16/2013,CA,0,0
10311,1969,Graduation,Married,,"$4,428.00 ",0 kid(s),1,10/5/2013,SP,0,0
837,1977,Graduation,Married,,"$54,809.00 ",1 kid(s),1,9/11/2013,SP,0,0
10521,1977,Graduation,Married,,"$54,809.00 ",1 kid(s),1,9/11/2013,SP,0,1
10175,1958,PhD,Divorced,,"$32,173.00 ",0 kid(s),1,8/1/2013,SP,0,0
1473,1960,Bachelor degree,Single,,"$47,823.00 ",0 kid(s),1,7/23/2013,CA,0,0
2795,1958,Master,Single,,"$30,523.00 ",2 kid(s),1,7/1/2013,CA,0,0
2285,1954,Master,Together,,"$36,634.00 ",0 kid(s),1,5/28/2013,SA,0,0
115,1966,Master,Single,,"$43,456.00 ",0 kid(s),1,3/26/2013,IND,0,0
10470,1979,Master,Married,,"$40,662.00 ",1 kid(s),0,3/15/2013,GER,0,0
4065,1976,PhD,Married,,"$49,544.00 ",1 kid(s),0,2/12/2013,SP,0,0
10968,1969,Graduation,Single,,"$57,731.00 ",0 kid(s),1,11/23/2012,IND,0,0
5985,1965,Master,Single,,"$33,168.00 ",0 kid(s),1,10/13/2012,SP,0,0
5430,1956,Graduation,Together,,"$54,450.00 ",1 kid(s),1,9/14/2012,SP,0,0
8432,1956,Graduation,Together,,"$54,450.00 ",1 kid(s),1,9/14/2012,SP,0,0
453,1956,PhD,Widow,,"$35,340.00 ",1 kid(s),1,6/29/2014,SP,0,0
9687,1975,Graduation,Single,,"$73,170.00 ",0 kid(s),0,5/31/2014,CA,0,0
8890,1971,PhD,Divorced,,"$65,808.00 ",1 kid(s),1,5/30/2014,SP,0,0
9264,1986,Graduation,Married,,"$79,529.00 ",0 kid(s),0,4/27/2014,CA,0,0
5824,1972,PhD,Together,,"$34,578.00 ",2 kid(s),1,4/11/2014,AUS,0,0
5794,1974,PhD,Married,,"$46,374.00 ",0 kid(s),1,3/17/2014,IND,0,1
3068,1990,Graduation,Married,,"$18,351.00 ",0 kid(s),0,10/29/2013,SP,0,0
7962,1987,PhD,Single,,"$95,169.00 ",0 kid(s),0,10/9/2013,SP,0,1
2681,1984,Bachelor degree,Married,,"$65,370.00 ",0 kid(s),0,8/1/2013,SP,0,0
10141,1960,Master,Divorced,,"$39,228.00 ",0 kid(s),0,5/10/2013,SA,0,0
3725,1961,PhD,Single,,"$84,865.00 ",0 kid(s),0,5/9/2013,SP,0,1
3767,1968,Graduation,Married,,"$61,314.00 ",0 kid(s),1,4/25/2013,SP,0,0
5585,1972,Graduation,Single,,"$21,359.00 ",1 kid(s),0,4/20/2013,CA,0,1
7030,1955,PhD,Married,,"$66,465.00 ",0 kid(s),1,3/30/2013,SP,0,0
1524,1983,Bachelor degree,Single,,"$81,698.00 ",0 kid(s),0,3/1/2013,SP,0,1
3657,1986,Graduation,Single,,"$39,146.00 ",1 kid(s),0,2/14/2013,SP,0,0
5740,1970,Bachelor degree,Divorced,,"$25,959.00 ",1 kid(s),1,2/14/2013,SP,0,1
9595,1961,Graduation,Together,,"$64,260.00 ",0 kid(s),0,1/11/2013,SP,0,1
